tree_id,dist,region,tree_type,diameter,tree_height,matched,dist_to_health,health_樹木狀況,health_健檢扣分,health_健檢關鍵因子,health_風險結果,health_樹冠頂梢枯死率,health_樹冠缺失率,lng,lat,is_protected,prot_id,prot_name,prot_sci,prot_diam_m,prot_circ_m,prot_loc,prot_mgr
BT0614021096,士林區,文林路,榕樹,54.0,16.0,True,0.0020103082197552,P,,,,0.0,3.0,121.519601182734,25.103645390932485,False,,,,,,,
BT0614021097,士林區,文林路,白千層,45.0,6.8,True,0.0093942967570554,P,,,,0.0,13.0,121.51963386906036,25.103590656909727,False,,,,,,,
BT0614021098,士林區,文林路,茄苳,6.0,8.7,True,0.0055217158904921,P,-24.0,種植範圍土壤面積不足,D級,0.0,3.0,121.51968644511832,25.103503171764565,False,,,,,,,
BT0614031095,士林區,文林路,白千層,22.0,7.7,True,0.0093394976170053,P,,,,0.0,8.0,121.51924966159388,25.103566362959103,False,,,,,,,
BT0614031096,士林區,文林路,茄苳,6.0,7.7,True,0.0086962880673331,P,-28.0,種植範圍土壤面積不足,D級,0.0,3.0,121.51929976760864,25.103480872759036,False,,,,,,,
BT0614031097,士林區,文林路,茄苳,40.0,10.5,True,0.0028834755383624,P,-26.0,種植範圍土壤面積不足,D級,0.0,3.0,121.51938681756336,25.103339279459664,False,,,,,,,
BT0614031098,士林區,文林路,茄苳,11.0,7.4,True,0.0064666928815939,P,-24.0,種植範圍土壤面積不足,D級,0.0,3.0,121.51943543617703,25.103253794422276,False,,,,,,,
NG0590010038,士林區,環河北路三段,白千層,31.0,11.62,True,0.0033681403177821,,,,,0.0,0.0,121.50450932814468,25.08669841636119,False,,,,,,,
NG0590010039,士林區,環河北路三段,白千層,27.0,11.52,True,0.0056151723376065,,,,,0.0,0.0,121.5047659291527,25.08636910318589,False,,,,,,,
SL0174310001,士林區,環河北路三段,桃花心木,8.9,6.5,True,0.0611132366895774,P,-16.0,,D級,0.0,28.0,121.50655860576384,25.084082508437454,False,,,,,,,
SL0174310002,士林區,環河北路三段,桃花心木,9.1,4.8,True,0.0157350009522318,P,-18.0,,D級,0.0,18.0,121.50625214289012,25.084627043023534,False,,,,,,,
SL0174310003,士林區,環河北路三段,桃花心木,15.4,7.7,True,0.1006989668053345,P,-11.0,,D級,0.0,38.0,121.50594399808624,25.08512481739432,False,,,,,,,
SL0174310004,士林區,環河北路三段,桃花心木,14.0,8.1,True,0.0305635738662616,P,-19.0,,D級,0.0,33.0,121.50590930245826,25.08517341632505,False,,,,,,,
SL0174310005,士林區,環河北路三段,芒果,10.12,2.9,True,0.0503851046783065,P,-13.0,,D級,0.0,23.0,121.5064804993681,25.083627490307965,False,,,,,,,
