樹木編號,樹種名稱,樹種學名,樹胸徑寬度公尺,樹胸圍長度公尺,地址,緯度,經度,地理位置名稱,管理單位,英文名
768,榕,Ficus microcarpa L. f.,1.13,3.55,臺北市萬華區騰雲里青年公園1.2號草坪與3.4號草坪之間(1 號草坪近獅誼亭前),25.0232,121.5056,公園、綠地,臺北市政府工務局公園路燈工程管理處,Banyan
1,榕,Ficus microcarpa L. f.,1.08,3.39,臺北市中正區梅花里中正區八德路一段55號,25.0448,121.532,公共場所,財政部國有財產署(全球人壽保險股份有限公司代管),Banyan
190,榕,Ficus microcarpa L. f.,1.18,3.71,臺北市中正區黎明里常德街1號台大醫院舊館前,25.0412,121.517,公共場所,國立臺灣大學,Banyan
2,雀榕,Ficus superba var. japonica,0.95,2.98,臺北市中正區梅花里市民大道三段8號光華數位新天地1樓中庭,25.0451,121.532,公共場所,臺北市市場處,Large-leaved Banyan
3,光臘樹,Fraxinus griffithii C.B. Clarke,0.52,1.62,臺北市中正區廈安里大埔街25巷10號東側,25.0318,121.5057,私有住宅,財政部國有財產署,Griffith's Ash
4,芒果,Mangifera indica L.,0.64,2.01,臺北市中正區廈安里大埔街25巷1號對面,25.0319,121.505,公園、綠地,財政部國有財產署(北區分署/安宏股份有限公司代管至181/04/28),Mango
5,象牙樹,Diospyros ferrea (Willd.) Bakhuizen,0.24,0.76,臺北市中正區廈安里大埔街46號對面,25.0316,121.5051,公園、綠地,財政部國有財產署,Ivorywood
9,臺灣海桐,Pittosporum pentandrum (Blanco) Merr.,0.24,0.74,臺北市中正區廈安里大埔街46號對面,25.0316,121.5053,公園、綠地,財政部國有財產署,Fragrant Pittosporum
10,月橘 (七里香),Murraya paniculata (L.) Bl. ex DC.,0.07,0.23,臺北市中正區廈安里大埔街46號對面,25.0317,121.5053,公園、綠地,財政部國有財產署,Common Jasmin Orange
11,水黃皮,Pongamia pinnata (L.) Pierre,0.43,1.36,臺北市中正區廈安里大埔街27巷7號西側綠地,25.0317,121.5054,公園、綠地,財政部國有財產署(北區分署/安宏股份有限公司代管至181/04/28),Poongaoil Pongamia
12,水黃皮,Pongamia pinnata (L.) Pierre,0.46,1.45,臺北市中正區廈安里大埔街27巷9號圍牆邊,25.0316,121.5057,私有住宅,私人,Poongaoil Pongamia
13,樟,Cinnamomum camphora (L.) Presl,0.48,1.5,臺北市中正區廈安里大埔街42號空地最內部牆邊,25.0318,121.5047,私有住宅,私人,Camphor Tree
16,白千層,Melaleuca cajuputi cumingiana,1.01,3.18,臺北市中正區東門里仁愛路一段1號台大醫學院舊館靠中山南路側庭園,25.0398,121.5184,學校,國立臺灣大學,Cajuput Tree
17,白千層,Melaleuca cajuputi cumingiana,1.03,3.25,臺北市中正區東門里仁愛路一段1號台大醫學院舊館靠中山南路側庭園,25.0397,121.5184,學校,國立臺灣大學,Cajuput Tree
18,榕,Ficus microcarpa L. f.,1.26,3.97,臺北市中正區東門里仁愛路一段1號台大醫學院舊館靠中山南路側庭園,25.0398,121.5182,學校,國立臺灣大學,Banyan
19,芒果,Mangifera indica L.,1.18,3.45,臺北市中正區東門里仁愛路一段與26巷交叉口,25.0384,121.5225,其他,國立臺灣大學,Mango
21,雀榕,Ficus superba var. japonica,1.07,3.35,臺北市中正區建國里公園路21號弘道國中操場邊,25.0379,121.5162,學校,臺北市立弘道國民中學,Large-leaved Banyan
22,榕,Ficus microcarpa L. f.,1.59,5,臺北市中正區建國里公園路21號弘道國中操場邊,25.0372,121.516,學校,臺北市立弘道國民中學,Banyan
24,榕,Ficus microcarpa L. f.,1.52,4.76,臺北市中正區河堤里中正區同安街109巷,25.0212,121.5208,公園、綠地,臺北市停車管理工程處,Banyan
25,榕,Ficus microcarpa L. f.,1.18,3.7,臺北市中正區河堤里中正區同安街109巷,25.0211,121.5209,公園、綠地,臺北市停車管理工程處,Banyan
26,榕,Ficus microcarpa L. f.,1.08,3.39,臺北市中正區河堤里中正區同安街109巷,25.0212,121.521,公園、綠地,臺北市停車管理工程處,Banyan
27,茄苳,Bischofia javanica Blume,0.68,2.15,臺北市中正區水源里汀州路三段104巷12號,25.0128,121.5338,公共場所,臺北自來水事業處,Autumn Maple Tree
28,榕,Ficus microcarpa L. f.,1.57,4.92,臺北市中正區林興里汀州路三段8號替代役中心,25.0176,121.526,其他,國防部軍備局,Banyan
30,榕,Ficus microcarpa L. f.,1.24,3.89,臺北市中正區林興里汀州路三段8號替代役中心,25.0177,121.5261,其他,臺北市政府工務局公園路燈工程管理處,Banyan
31,大葉桉,Eucalyptus robusta Smith,0.88,2.76,臺北市中正區林興里汀州路三段8號替代役中心,25.0173,121.5263,其他,臺北市政府工務局公園路燈工程管理處,Swamp Manogany
32,榕,Ficus microcarpa L. f.,1.18,3.7,臺北市中正區林興里汀州路三段8號替代役中心後方,25.0175,121.526,其他,國防部軍備局,Banyan
38,榕,Ficus microcarpa L. f.,1.11,3.49,臺北市中正區河堤里同安街107號,25.0213,121.5204,公共場所,臺北市政府文化局,Banyan
35,榕,Ficus microcarpa L. f.,0.86,2.7,臺北市中正區河堤里同安街107號,25.0214,121.5205,公共場所,臺北市政府文化局,Banyan
36,榕,Ficus microcarpa L. f.,0.95,3,臺北市中正區河堤里同安街107號,25.0212,121.5204,公共場所,臺北市政府文化局,Banyan
37,榕,Ficus microcarpa L. f.,1.25,3.93,臺北市中正區河堤里同安街107號,25.0213,121.5204,公共場所,臺北市政府文化局,Banyan
39,樟,Cinnamomum camphora (L.) Presl,1.43,4.5,臺北市中正區頂東里同安街43巷6弄2號斜對面，正對著六弄靠圍籬處,25.0242,121.5222,公共場所,臺北市政府財政局,Camphor Tree
40,榕,Ficus microcarpa L. f.,1.17,3.67,臺北市中正區南福里南昌公園,25.0273,121.5201,公園、綠地,臺北市政府工務局公園路燈管理處(臺北市中正區公所代管),Banyan
41,雀榕,Ficus superba var. japonica,1.01,3.17,臺北市中正區南福里和平西路一段55巷3號,25.0272,121.52,私有住宅,財政部國有財產署,Large-leaved Banyan
42,樟,Cinnamomum camphora (L.) Presl,0.83,2.6,臺北市中正區廈安里和平西路二段106-2號旁,25.031,121.5081,道路、人行道,臺北市政府工務局新建工程處、臺灣土地銀行股份有限公司,Camphor Tree
46,掌葉蘋婆,Sterculia foetida L.,0.57,1.8,臺北市中正區廈安里和平西路二段134巷1號,25.0319,121.5063,私有住宅,植心園公寓大廈管理委員會,Hazel Bottle Tree
48,檸檬桉,Eucalyptus maculata Hook. var. citriodora (Hook) F. Muell.,0.8,2.5,臺北市中正區南門里和平西路二段61號旁,25.0311,121.5084,道路、人行道,行政院農業委員會林業試驗所,Lemon Eucaly
49,樟,Cinnamomum camphora (L.) Presl,0.83,2.62,臺北市中正區南門里和平西路二段61號,25.0308,121.509,道路、人行道,行政院農業委員會林業試驗所,Camphor Tree
51,臺灣油杉,Keteleeria davidiana (Franchet) Beissnervar. formosana Hayata,0.39,1.25,臺北市中正區南門里延平南路209號,25.0326,121.5077,私有住宅,臺北市政府社會局,Taiwan Cow-tail Fir
52,樟,Cinnamomum camphora (L.) Presl,1.05,3.31,臺北市中正區南門里中正區和平西路二段75巷6號,25.0326,121.5078,私有住宅,行政院農業委員會林業試驗所,Camphor Tree
53,樟,Cinnamomum camphora (L.) Presl,0.76,2.4,臺北市中正區南門里和平西路二段83號旁,25.0319,121.5072,道路、人行道,臺北市政府工務局新建工程處,Camphor Tree
700,芒果,Mangifera indica L.,0.65,2.04,臺北市大安區龍坡里溫州街16巷15號,25.0256,121.5321,公共場所,國立臺灣大學,Mango
54,青剛櫟,Cyclobalanopsis glauca (Thunb. ex Murray) Oerst,0.51,1.6,臺北市中正區建國里中正區延平南路119號,25.0401,121.5091,私有住宅,台灣電力股份有限公司(秘書處),Ring-cupped Oak
701,樟,Cinnamomum camphora (L.) Presl,0.62,1.96,臺北市大安區龍坡里溫州街16巷15號,25.0255,121.5322,公共場所,國立臺灣大學,Camphor Tree
702,大葉雀榕,Ficus caulocarpa (Miq.) Miq,1.63,5.14,臺北市大安區龍坡里溫州街16巷16號,25.0252,121.5317,學校,國立臺灣師範大學,Red Fruit Fig-tree
100,優曇華,Ficus racemosa L.,1.03,3.25,臺北市中正區南門里中正區南海路53號(台北植物園),25.0326,121.5109,公共場所,行政院農業委員會林業試驗所,Cluster Fig
55,茄苳,Bischofia javanica Blume,1.11,3.49,臺北市中正區建國里延平南路119號,25.0399,121.5091,私有住宅,台灣電力股份有限公司(秘書處),Autumn Maple Tree
704,榕,Ficus microcarpa L. f.,0.94,2.97,臺北市大安區大學里溫州街50號,25.0212,121.533,其他,國立臺灣大學(臺北市停車管理工程處代管113年4月1日起至116年3月31日止),Banyan
705,加羅林魚木,Crateva religiosa Forst.f.,0.95,2.97,臺北市大安區大學里羅斯福路三段283巷30號,25.019,121.5317,公共場所,台灣電力股份有限公司,Sacred Garlic Pear
707,楓香,Liquidambar formosana Hance,0.57,1.8,臺北市大安區學府里民族國中,25.0111,121.5386,學校,臺北市民族實驗國民中學,Formosan Sweet Gum
101,樟,Cinnamomum camphora (L.) Presl,0.8,2.5,臺北市中正區南門里中正區南海路53號(台北植物園),25.0315,121.5085,公共場所,行政院農業委員會林業試驗所,Camphor Tree
56,榕,Ficus microcarpa L. f.,1.63,5.12,臺北市中正區建國里延平南路119號緊靠院內東南角圍牆邊，牆外是最高法院後門警衛室,25.0397,121.5096,私有住宅,台灣電力股份有限公司(秘書處),Banyan
59,黑板樹,Alstonia scholaris (L.) R. Brown,1.14,3.58,臺北市中正區文祥里杭州南路一段131巷15號,25.0366,121.5259,私有住宅,私人,Palimara Alstonia
61,青剛櫟,Cyclobalanopsis glauca (Thunb. ex Murray) Oerst,0.28,0.9,臺北市中正區文北里杭州南路一段75號,25.0393,121.5256,私有住宅,臺北市政府文化局 文化資產科,Ring-cupped Oak
63,烏心石,Michelia compressa (Maxim.) Sargent,0.55,1.73,臺北市中正區文北里杭州南路一段75號,25.0395,121.5257,私有住宅,臺北市政府文化局 文化資產科,Formosan Michelia
65,黑板樹,Alstonia scholaris (L.) R. Brown,0.8,2.5,臺北市中正區新營里林森南路145號騎樓上,25.033,121.5184,私有住宅,私人,Palimara Alstonia
102,落羽杉,Taxodiun distichum (L.) Rich,0.65,2.05,臺北市中正區南門里中正區南海路53號(台北植物園),25.0317,121.5084,公共場所,行政院農業委員會林業試驗所,Deciduous Cypress
67,蛋黃果,Pouteria campechiana,0.35,1.1,臺北市中正區東門里林森南路99巷與仁愛路一段26號交叉口,25.0378,121.5221,其他,國立臺灣大學,Egg Fruit
103,落羽杉,Taxodiun distichum (L.) Rich,0.62,1.96,臺北市中正區南門里中正區南海路53號(台北植物園),25.0318,121.5084,公共場所,行政院農業委員會林業試驗所,Deciduous Cypress
68,大葉合歡,Albizia lebbeck (L.) Benth,0.63,2.01,臺北市中正區東門里林森南路99巷與仁愛路一段36巷交叉口,25.0377,121.5223,私有住宅,國立臺灣大學,Siris
69,樟,Cinnamomum camphora (L.) Presl,1.05,3.3,臺北市中正區東門里林森南路99巷與仁愛路一段36巷交叉口,25.0377,121.5225,其他,國立臺灣大學,Camphor Tree
70,榕,Ficus microcarpa L. f.,0.76,2.4,臺北市中正區光復里武昌街61號對面(歐特儀中山堂地下停車場入口西側),25.0441,121.5106,公園、綠地,臺北市政府工務局公園路燈工程管理處(臺北市中山堂管理所代管),Banyan
